Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,complete,,,,,,line
#1-2-1,complete,,,,València,,line
#1-2-10,complete,,,True,València,,line
#1-2-11,complete,,,,València,,line
#1-2-12,complete,,,,València,,bar
#1-2-2,complete,,,,València,,line
#1-2-3,complete,,,,València,,line
#1-2-4,complete,,,,València,,line
#1-2-5,complete,,,,València,,line
#1-2-6,complete,,,,València,,line
#1-2-7,complete,,,,València,,line
#1-2-8,complete,,,,València,,line
#1-2-9,complete,,,,València,,line
#1-a-1,complete,,,,València,,bar
#1-a-2,complete,,,,València,,bar
#1-a-3,complete,,,,València,,bar
#1-a-4,complete,,,,València,,bar
#10-1-1,complete,,,,València,,line
#10-1-2,complete,,,,València,,line
#10-1-3,complete,,,,València,,line
#10-1-4,complete,,,,València,,line
#10-2-1,complete,,,,València,,line
#10-2-10,complete,,,,València,,line
#10-2-11,complete,,,,València,,line
#10-2-2,complete,,,,València,,line
#10-2-3,complete,,,,València,,line
#10-2-4,complete,,,,València,,line
#10-2-5,complete,,,,València,,line
#10-2-6,complete,,,,València,,line
#10-2-7,complete,,,,València,,line
#10-2-8,complete,,,,València,,line
#10-2-9,complete,,,,València,,line
#10-3-1,complete,,,,València,,bar
#10-3-2,complete,,,,València,,bar
#10-4-1,complete,,,,València,,line
#10-4-2,complete,,,,València,,line
#10-4-3,complete,,,,València,,line
#10-b-1,complete,,,,València,,bar
#10-b-2,complete,,,,València,,bar
#10-b-3,complete,,,,València,,bar
#10-b-4,complete,,,,València,,bar
#11-1-1,complete,,,,València,,line
#11-1-2,complete,,,,València,,bar
#11-1-3,complete,,,,València,,bar
#11-1-4,complete,,,,València,,bar
#11-1-5,complete,,,,València,,bar
#11-1-6,complete,,,,València,,line
#11-1-7,complete,,,,València,,bar
#11-2-1,complete,,,,València,,bar
#11-2-10,complete,,,,València,,line
#11-2-11,complete,,,,València,,line
#11-2-12,complete,,,,València,,line
#11-2-13,complete,,,,València,,line
#11-2-2,complete,,,,València,,bar
#11-2-3,complete,,,,València,,bar
#11-2-4,complete,,,,València,,bar
#11-2-5,complete,,,,València,,line
#11-2-6,complete,,,,València,,line
#11-2-7,complete,,,,València,,line
#11-2-8,complete,,,,València,,line
#11-2-9,complete,,,,València,,line
#11-3-1,complete,,,,València,,line
#11-3-2,complete,,,,València,,line
#11-6-1,complete,,,,València,,line
#11-6-2,complete,,,,València,,line
#11-6-3,complete,,,,València,,line
#11-6-4,complete,,,,València,,line
#11-6-5,complete,,,,València,,line
#11-6-6,complete,,,,València,,line
#11-6-7,complete,,,,València,,line
#11-b-1,complete,,,,València,,line
#11-c-1,complete,,,,València,,bar
#11-c-2,complete,,,,València,,bar
#11-c-3,complete,,,,València,,bar
#11-c-4,complete,,,,València,,bar
#12-5-1,complete,,,,València,,line
#12-5-2,complete,,,,València,,line
#12-5-3,complete,,,,València,,line
#12-5-4,complete,,,,València,,line
#12-5-5,complete,,,,València,,line
#12-5-6,complete,,,,València,,line
#12-5-7,complete,,,,València,,line
#12-5-8,complete,,,,València,,line
#12-8-1,complete,,,,València,,bar
#12-8-2,complete,,,,València,,bar
#12-a-1,complete,,,,València,,bar
#12-a-2,complete,,,,València,,bar
#12-a-3,complete,,,,València,,bar
#12-a-4,complete,,,,València,,bar
#12-b-1,complete,,,,València,,line
#12-b-2,complete,,,,València,,line
#13-1-1,complete,,,,València,,bar
#13-1-2,complete,,,,València,,line
#13-2-1,complete,,,,València,,line
#13-2-2,complete,,,,València,,line
#13-2-3,complete,,,,València,,line
#13-2-4,complete,,,,València,,line
#13-2-5,complete,,,,València,,line
#13-2-6,complete,,,,València,,line
#13-2-7,complete,,,,València,,line
#13-2-8,complete,,,,València,,line
#13-2-9,complete,,,,València,,line
#13-3-1,complete,,,,València,,bar
#13-3-2,complete,,,,València,,bar
#13-b-1,complete,,,,València,,bar
#13-b-2,complete,,,,València,,bar
#13-b-3,complete,,,,València,,bar
#13-b-4,complete,,,,València,,bar
#15-3-1,complete,,,,València,,line
#15-3-10,complete,,,,València,,bar
#15-3-11,complete,,,,València,,bar
#15-3-12,complete,,,,València,,bar
#15-3-2,complete,,,,València,,line
#15-3-3,complete,,,,València,,line
#15-3-4,complete,,,,València,,line
#15-3-5,complete,,,,València,,bar
#15-3-6,complete,,,,València,,bar
#15-3-7,complete,,,,València,,bar
#15-3-8,complete,,,,València,,bar
#15-3-9,complete,,,,València,,bar
#15-9-1,complete,,,,València,,line
#15-b-1,complete,,,,València,,bar
#15-b-2,complete,,,,València,,bar
#15-b-3,complete,,,,València,,bar
#15-b-4,complete,,,,València,,bar
#16-1-1,complete,,,,València,,line
#16-1-2,complete,,,,València,,bar
#16-1-3,complete,,,,València,,bar
#16-1-4,complete,,,,València,,line
#16-1-5,complete,,,,València,,line
#16-1-6,complete,,,,València,,line
#16-1-7,complete,,,,València,,line
#16-1-8,complete,,,,València,,line
#16-6-1,complete,,,,València,,line
#16-6-2,complete,,,,València,,line
#16-6-3,complete,,,,València,,line
#16-6-4,complete,,,,València,,line
#16-6-5,complete,,,,València,,line
#16-6-6,complete,,,,València,,line
#16-6-7,complete,,,,València,,line
#16-6-8,complete,,,,València,,line
#16-7-1,complete,,,,València,,line
#16-7-2,complete,,,,València,,line
#16-7-3,complete,,,,València,,line
#16-7-4,complete,,,,València,,bar
#16-7-5,complete,,,,València,,line
#16-a-1,complete,,,,València,,bar
#16-a-2,complete,,,,València,,bar
#16-a-3,complete,,,,València,,bar
#16-a-4,complete,,,,València,,bar
#17-1-1,complete,,,,València,,bar
#17-1-10,complete,,,,València,,bar
#17-1-11,complete,,,,València,,bar
#17-1-12,complete,,,,València,,bar
#17-1-13,complete,,,,València,,bar
#17-1-14,complete,,,,València,,bar
#17-1-15,complete,,,,València,,bar
#17-1-16,complete,,,,València,,bar
#17-1-17,complete,,,,València,,bar
#17-1-2,complete,,,,València,,bar
#17-1-3,complete,,,,València,,bar
#17-1-4,complete,,,,València,,bar
#17-1-5,complete,,,,València,,bar
#17-1-6,complete,,,,València,,bar
#17-1-7,complete,,,,València,,bar
#17-1-8,complete,,,,València,,bar
#17-1-9,complete,,,,València,,bar
#2-1-1,complete,,,,València,,line
#2-2-1,complete,,,,València,,bar
#2-2-2,complete,,,,València,,bar
#2-2-3,complete,,,,València,,bar
#2-2-4,complete,,,,València,,line
#2-3-1,complete,,,,València,,line
#2-3-2,complete,,,,València,,line
#2-3-3,complete,,,,València,,bar
#2-3-4,complete,,,,València,,bar
#2-3-5,complete,,,,València,,bar
#2-a-1,complete,,,,València,,bar
#2-a-2,complete,,,,València,,bar
#2-a-3,complete,,,,València,,bar
#2-a-4,complete,,,,València,,bar
#3-1-1,complete,,,,València,,line
#3-1-2,complete,,,,València,,line
#3-2-1,complete,,,,València,,line
#3-2-2,complete,,,,València,,line
#3-2-3,complete,,,,València,,line
#3-3-1,complete,,,,València,,line
#3-3-2,complete,,,,València,,line
#3-3-3,complete,,,,València,,line
#3-3-4,complete,,,,València,,line
#3-3-5,complete,,,,València,,line
#3-3-6,complete,,,,València,,line
#3-3-7,complete,,,,València,,line
#3-3-8,complete,,,,València,,line
#3-4-1,complete,,,,València,,line
#3-4-2,complete,,,,València,,line
#3-4-3,complete,,,,València,,line
#3-4-4,complete,,,,València,,line
#3-4-5,complete,,,,València,,line
#3-4-6,complete,,,,València,,line
#3-4-7,complete,,,,València,,line
#3-4-8,complete,,,,València,,line
#3-5-1,complete,,,,València,,line
#3-5-2,complete,,,,València,,line
#3-5-3,complete,,,,València,,bar
#3-5-4,complete,,,,València,,line
#3-6-1,complete,,,,València,,line
#3-7-1,complete,,,,València,,line
#3-7-2,complete,,,,València,,line
#3-7-3,complete,,,,València,,line
#3-8-1,complete,,,,València,,bar
#3-8-2,complete,,,,València,,line
#3-8-3,complete,,,,València,,line
#3-8-4,complete,,,,València,,line
#3-8-5,complete,,,,València,,line
#3-9-1,complete,,,,València,,line
#3-a-1,complete,,,,València,,bar
#3-c-1,complete,,,,València,,bar
#3-c-2,complete,,,,València,,bar
#3-c-3,complete,,,,València,,bar
#3-c-4,complete,,,,València,,bar
#4-1-1,complete,,,,València,,line
#4-1-2,complete,,,,València,,line
#4-2-1,complete,,,,València,,line
#4-3-1,complete,,,,València,,bar
#4-3-2,complete,,,,València,,line
#4-4-1,complete,,,,València,,line
#4-5-1,complete,,,,València,,bar
#4-6-1,complete,,,,València,,line
#4-6-2,complete,,,,València,,line
#4-b-1,complete,,,,València,,line
#4-b-2,complete,,,,València,,line
#4-c-1,complete,,,,València,,bar
#4-c-2,complete,,,,València,,bar
#4-c-3,complete,,,,València,,bar
#4-c-4,complete,,,,València,,bar
#5-1-1,complete,,,,València,,bar
#5-2-1,complete,,,,València,,bar
#5-2-2,complete,,,,València,,bar
#5-2-3,complete,,,,València,,bar
#5-2-4,complete,,,,València,,bar
#5-2-5,complete,,,,València,,bar
#5-2-6,complete,,,,València,,bar
#5-2-7,complete,,,,València,,bar
#5-2-8,complete,,,,València,,bar
#5-4-1,complete,,,,València,,bar
#5-4-2,complete,,,,València,,bar
#5-4-3,complete,,,,València,,bar
#5-5-1,complete,,,,València,,line
#5-5-2,complete,,,,València,,line
#5-5-3,complete,,,,València,,line
#5-5-4,complete,,,,València,,line
#5-a-1,complete,,,,València,,bar
#5-a-2,complete,,,,València,,bar
#5-a-3,complete,,,,València,,bar
#5-a-4,complete,,,,València,,bar
#5-b-1,complete,,,,València,,line
#5-b-2,complete,,,,València,,line
#5-c-1,complete,,,,València,,line
#5-c-2,complete,,,,València,,line
#5-c-3,complete,,,,València,,line
#5-c-4,complete,,,,València,,line
#5-c-5,complete,,,,València,,line
#5-c-6,complete,,,,València,,line
#5-c-7,complete,,,,València,,line
#5-c-8,complete,,,,València,,line
#5-c-9,complete,,,,València,,line
#6-1-1,complete,,,,València,,line
#6-1-2,complete,,,,València,,line
#6-3-1,complete,,,,València,,line
#6-3-2,complete,,,,València,,line
#6-3-3,complete,,,,València,,line
#6-3-4,complete,,,,València,,line
#6-6-1,complete,,,,València,,line
#6-a-1,complete,,,,València,,bar
#6-a-2,complete,,,,València,,bar
#6-a-3,complete,,,,València,,bar
#6-a-4,complete,,,,València,,bar
#7-1-1,complete,,,,València,,line
#7-1-2,complete,,,,València,,line
#7-1-3,complete,,,,València,,line
#7-1-4,complete,,,,València,,line
#7-1-5,complete,,,,València,,line
#7-b-1,complete,,,,València,,bar
#7-b-2,complete,,,,València,,bar
#7-b-3,complete,,,,València,,bar
#7-b-4,complete,,,,València,,bar
#8-10-1,complete,,,,València,,line
#8-10-2,complete,,,,València,,line
#8-3-1,complete,,,,València,,line
#8-3-2,complete,,,,València,,line
#8-5-1,complete,,,,València,,line
#8-5-2,complete,,,,València,,line
#8-5-3,complete,,,,València,,line
#8-5-4,complete,,,,València,,line
#8-5-5,complete,,,,València,,line
#8-5-6,complete,,,,València,,line
#8-6-1,complete,,,,València,,line
#8-8-1,complete,,,,València,,line
#8-8-2,complete,,,,València,,line
#8-8-3,complete,,,,València,,line
#8-8-4,complete,,,,València,,line
#8-9-1,complete,,,,València,,line
#8-9-2,complete,,,,València,,line
#8-9-3,complete,,,,València,,line
#8-9-4,complete,,,,València,,line
#8-a-1,complete,,,,València,,bar
#8-a-2,complete,,,,València,,bar
#8-a-3,complete,,,,València,,bar
#8-a-4,complete,,,,València,,bar
#9-1-1,complete,,,,València,,line
#9-1-10,complete,,,,València,,bar
#9-1-11,complete,,,,València,,bar
#9-1-12,complete,,,,València,,bar
#9-1-2,complete,,,,València,,line
#9-1-3,complete,,,,València,,line
#9-1-4,complete,,,,València,,line
#9-1-5,complete,,,,València,,bar
#9-1-6,complete,,,,València,,bar
#9-1-7,complete,,,,València,,bar
#9-1-8,complete,,,,València,,bar
#9-1-9,complete,,,,València,,bar
#9-2-1,complete,,,,València,,line
#9-2-2,complete,,,,València,,line
#9-5-1,complete,,,,València,,line
#9-5-2,complete,,,,València,,line
#9-5-3,complete,,,,València,,line
#9-5-4,complete,,,,València,,line
#9-a-1,complete,,,,València,,bar
#9-a-2,complete,,,,València,,bar
#9-a-3,complete,,,,València,,bar
#9-a-4,complete,,,,València,,bar
#9-c-1,complete,,,,València,,line
#9-c-2,complete,,,,València,,line
#9-c-3,complete,,,,València,,line
#9-c-4,complete,,,,València,,line
#9-c-5,complete,,,,València,,line
#9-c-6,complete,,,,València,,line
